counter,subID,task,Video,Track,Timestamp,errors_in_frame,time_to_prev_error,time_to_next_error,value1,error_type_value1,error_subtype_value1,value1b,value2,error_type_value2,error_subtype_value2,value2b,value3,error_type_value3,error_subtype_value3,value3b,value4,error_type_value4,error_subtype_value4,value4b,value5,error_type_value5,error_subtype_value5,value5b,HMD,offset,Timestamp_adjusted
640,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,68.6,1,.959999999999994,-13.6,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,68.5558896352319
641,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,82.2,1,13.6,-4.8,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,82.1558896352319
642,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,87,1,4.8,-6.48,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,86.9558896352319
643,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,93.48,1,6.48,-2.72,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,93.4358896352319
644,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,96.2,1,2.72,-7.56,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,96.1558896352319
645,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,103.76,1,7.56,-6.36,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,103.715889635232
646,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,110.12,1,6.36,-11.36,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,110.075889635232
647,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,121.48,1,11.36,-5.92,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,121.435889635232
648,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,127.4,3,5.92,-12.48,6,1,2,2,7,1,2,2,21,2,6,2, , , , , , , , ,varjo,True,127.355889635232
649,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,139.88,2,12.48,-4.64000000000001,24,2,7,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,139.835889635232
650,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,144.52,1,4.64000000000001,-4.07999999999998,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,144.475889635232
651,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,148.6,3,4.07999999999998,-8.96000000000001,7,1,2,2,8,1,2, ,2,1,1, , , , , , , , , ,varjo,True,148.555889635232
652,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,157.56,1,8.96000000000001,-1.63999999999999,32,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,157.515889635232
653,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,159.2,1,1.63999999999999,-2.12,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,159.155889635232
654,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,161.32,2,2.12,-10.04,31,2,8,2,6,1,2,2, , , , , , , , , , , , ,varjo,True,161.275889635232
655,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,171.36,2,10.04,-1.23999999999998,23,2,7,2,27,2,8,2, , , , , , , , , , , , ,varjo,True,171.315889635232
656,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,172.6,1,1.23999999999998,-3.59999999999999,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,172.555889635232
657,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,176.2,1,3.59999999999999,-.760000000000019,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,176.155889635232
658,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,176.96,1,.760000000000019,-1.47999999999999,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,176.915889635232
659,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,178.44,2,1.47999999999999,-6.40000000000001,31,2,8,2,6,1,2,2, , , , , , , , , , , , ,varjo,True,178.395889635232
660,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,184.84,1,6.40000000000001,-5.31999999999999,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,184.795889635232
661,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,190.16,2,5.31999999999999,-10.16,3,1,1,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,190.115889635232
662,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,200.32,1,10.16,-3.96000000000001,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,200.275889635232
663,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,204.28,1,3.96000000000001,-38.32,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,204.235889635232
664,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,242.6,1,38.32,-16.16,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,242.555889635232
665,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,258.76,1,16.16,-9.16000000000003,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,258.715889635232
666,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,267.92,1,9.16000000000003,-13.4,26,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,267.875889635232
667,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,281.32,1,13.4,-5.75999999999999,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,281.275889635232
668,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,287.08,1,5.75999999999999,-17.96,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,287.035889635232
669,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,305.04,1,17.96,-8.15999999999997,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,304.995889635232
670,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,313.2,1,8.15999999999997,-3.56,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,313.155889635232
671,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,316.76,2,3.56,-16.36,7,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,316.715889635232
672,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,333.12,1,16.36,-90.04,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,333.075889635232
673,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,423.16,2,90.04,-1.95999999999998,1,1,1,2,16,1,5,2, , , , , , , , , , , , ,varjo,True,423.115889635232
674,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,425.12,1,1.95999999999998,-5.48000000000002,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,425.075889635232
675,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,430.6,2,5.48000000000002,-11.72,23,2,7,2,1,1,1,2, , , , , , , , , , , , ,varjo,True,430.555889635232
676,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,442.32,1,11.72,-7.63999999999999,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,442.275889635232
677,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,449.96,1,7.63999999999999,-1.96000000000004,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,449.915889635232
678,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,451.92,1,1.96000000000004,-9.27999999999997,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,451.875889635232
679,P14,sandwich,P14_sandwich_2_merged.mp4,error frame,461.2,3,9.27999999999997, ,3,1,1,2,31.2,2,9,21,2,1,1, , , , , , , , , ,varjo,True,461.155889635232
680,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,12.36,1, ,-3.2,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,14.1881599051784
681,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,15.56,3,3.2,-11.76,27,2,8,2,23,2,7,2,32,2,9,2, , , , , , , , ,varjo,True,17.3881599051784
682,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,27.32,1,11.76,-1.32,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,29.1481599051784
683,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,28.64,1,1.32,-11.36,32,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,30.4681599051784
684,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,40,1,11.36,-3.36,13.3,1,3, , , , , , , , , , , , , , , , , ,varjo,True,41.8281599051784
685,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,43.36,1,3.36,-4.32,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,45.1881599051784
686,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,47.68,1,4.32,-28.48,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,49.5081599051784
687,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,76.16,1,28.48,-7.96000000000001,32,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,77.9881599051784
688,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,84.12,1,7.96000000000001,-3.72,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,85.9481599051784
689,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,87.84,1,3.72,-12.84,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,89.6681599051784
690,P9,cereal,P9_cereal_2_merged_varjo.mp4,error frame,100.68,1,12.84, ,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,102.508159905178
691,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,11.36,1, ,-.76,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,11.3527263161696
692,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,12.12,1,.76,-1.04,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,12.1127263161696
693,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,13.16,1,1.04,-1.92,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,13.1527263161696
694,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,15.08,3,1.92,-4.96,6,1,2,2,31,2,8,2,13,1,3,2, , , , , , , , ,varjo,True,15.0727263161696
695,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,20.04,1,4.96,-3,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,20.0327263161696
696,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,23.04,1,3,-2,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,23.0327263161696
697,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,25.04,1,2,-11.84,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,25.0327263161696
698,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,36.88,1,11.84,-4.64,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,36.8727263161696
699,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,41.52,2,4.64,-15.52,31,2,8,2,7,1,2,2, , , , , , , , , , , , ,varjo,True,41.5127263161696
700,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,57.04,2,15.52,-6.16,31,2,8,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,57.0327263161696
701,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,63.2,1,6.16,-7.48,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,63.1927263161696
702,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,70.68,1,7.48,-5.44,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,70.6727263161696
703,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,76.12,2,5.44,-3.95999999999999,31,2,8,2,32,2,9,2, , , , , , , , , , , , ,varjo,True,76.1127263161696
704,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,80.08,1,3.95999999999999,-1.2,2,1,1,1, , , , , , , , , , , , , , , , ,varjo,True,80.0727263161696
705,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,81.28,1,1.2,-11.6,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,81.2727263161696
706,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,92.88,2,11.6,-2.76000000000001,24,2,7,2,12,1,3,2, , , , , , , , , , , , ,varjo,True,92.8727263161696
707,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,95.64,1,2.76000000000001,-3.31999999999999,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,95.6327263161696
708,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,98.96,1,3.31999999999999,-10.36,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,98.9527263161696
709,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,109.32,1,10.36,-2.92,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,109.31272631617
710,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,112.24,2,2.92,-2.68000000000001,31,2,8,2,29,2,8,2, , , , , , , , , , , , ,varjo,True,112.23272631617
711,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,114.92,1,2.68000000000001,-18.6,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,114.91272631617
712,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,133.52,2,18.6,-17.08,24,2,7,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,133.51272631617
713,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,150.6,1,17.08,-4.52000000000001,32,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,150.59272631617
714,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,155.12,1,4.52000000000001,-11.68,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,155.11272631617
715,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,166.8,1,11.68,-24.44,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,166.79272631617
716,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,191.24,2,24.44,-8.95999999999998,31,2,8,2,29,2,8,2, , , , , , , , , , , , ,varjo,True,191.23272631617
717,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,200.2,2,8.95999999999998,-7.28,33,2,9,2,32,2,9,2, , , , , , , , , , , , ,varjo,True,200.19272631617
718,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,207.48,1,7.28,-5.48000000000002,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,207.47272631617
719,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,212.96,1,5.48000000000002,-37.68,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,212.95272631617
720,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,250.64,1,37.68,-18,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,250.63272631617
721,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,268.64,1,18,-11.56,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,268.63272631617
722,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,280.2,2,11.56,-45.68,31,2,8,2,6,1,2,2, , , , , , , , , , , , ,varjo,True,280.19272631617
723,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,325.88,1,45.68,-13.28,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,325.87272631617
724,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,339.16,1,13.28,-10.52,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,339.15272631617
725,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,349.68,1,10.52,-3.92000000000002,26,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,349.67272631617
726,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,353.6,1,3.92000000000002,-16.64,16,1,5,2, , , , , , , , , , , , , , , , ,varjo,True,353.59272631617
727,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,370.24,1,16.64,-5.59999999999997,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,370.23272631617
728,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,375.84,1,5.59999999999997,-25.6,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,375.83272631617
729,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,401.44,1,25.6,-14.12,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,401.43272631617
730,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,415.56,2,14.12,-126.72,3,1,1,2,23,2,7,2, , , , , , , , , , , , ,varjo,True,415.55272631617
731,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,542.28,2,126.72,-15.2,24,2,7,2,12,1,3,2, , , , , , , , , , , , ,varjo,True,542.27272631617
732,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,557.48,2,15.2,-9.03999999999996,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,557.47272631617
733,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,566.52,2,9.03999999999996,-6.51999999999998,10,1,3,2,29,2,8,2, , , , , , , , , , , , ,varjo,True,566.51272631617
734,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,573.04,1,6.51999999999998,-52.08,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,573.03272631617
735,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,625.12,2,52.08,-26.36,32,2,9,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,625.11272631617
736,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,651.48,1,26.36,-39.36,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,651.47272631617
737,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,690.84,2,39.36,-6.71999999999991,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,690.83272631617
738,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,697.56,1,6.71999999999991,-1.68000000000006,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,697.55272631617
739,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,699.24,1,1.68000000000006,-17.4,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,699.23272631617
740,P21,sandwich,P21_sandwich_2_merged_varjo.mp4,error frame,716.64,1,17.4, ,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,716.63272631617
741,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,13.8,3, ,-3.12,6,1,2,2,7,1,2,2,31,2,8,2, , , , , , , , ,varjo,True,16.159023674317
742,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,16.92,3,3.12,-6.08,10,1,3,2,13,1,3,2,21,2,6,2, , , , , , , , ,varjo,True,19.279023674317
743,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,23,2,6.08,-1.24,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,25.359023674317
744,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,24.24,1,1.24,-1.92,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,26.599023674317
745,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,26.16,1,1.92,-1.52,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,28.519023674317
746,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,27.68,2,1.52,-28.68,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,30.039023674317
747,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,56.36,1,28.68,-.840000000000003,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,58.719023674317
748,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,57.2,1,.840000000000003,-8.88,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,59.559023674317
749,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,66.08,1,8.88,-5.64,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,68.439023674317
750,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,71.72,2,5.64,-6.92,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,74.079023674317
751,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,78.64,1,6.92,-25.12,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,80.999023674317
752,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,103.76,1,25.12,-5.75999999999999,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,106.119023674317
753,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,109.52,1,5.75999999999999,-6.56,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,111.879023674317
754,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,116.08,1,6.56,-28.6,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,118.439023674317
755,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,144.68,2,28.6,-23.4,29,2,8,2,10,1,3,3, , , , , , , , , , , , ,varjo,True,147.039023674317
756,P3,cereal,P3_cereal_2_merged_varjo.mp4,error frame,168.08,2,23.4, ,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,170.439023674317
757,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,15.16,1, ,-10,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,16.8197917579926
758,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,25.16,1,10,-1.04,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,26.8197917579926
759,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,26.2,1,1.04,-9.96,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,27.8597917579926
760,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,36.16,1,9.96,-6.12,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,37.8197917579926
761,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,42.28,1,6.12,-4.08,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,43.9397917579926
762,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,46.36,2,4.08,-7.76,3,1,1,2,24,2,7,2, , , , , , , , , , , , ,varjo,True,48.0197917579926
763,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,54.12,1,7.76,-2.64,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,55.7797917579926
764,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,56.76,1,2.64,-3.52,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,58.4197917579926
765,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,60.28,1,3.52,-6.36,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,61.9397917579926
766,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,66.64,1,6.36,-22.96,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,68.2997917579926
767,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,89.6,1,22.96,-4.60000000000001,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,91.2597917579926
768,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,94.2,1,4.60000000000001,-11.68,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,95.8597917579926
769,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,105.88,1,11.68,-7.84,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,107.539791757993
770,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,113.72,1,7.84,-1.59999999999999,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,115.379791757993
771,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,115.32,2,1.59999999999999,-25.56,23,2,7,2,27,2,8,2, , , , , , , , , , , , ,varjo,True,116.979791757993
772,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,140.88,2,25.56,-6.84,6,1,2,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,142.539791757993
773,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,147.72,1,6.84,-6.52000000000001,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,149.379791757993
774,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,154.24,1,6.52000000000001,-10.48,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,155.899791757993
775,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,164.72,1,10.48,-7.59999999999999,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,166.379791757993
776,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,172.32,1,7.59999999999999,-4.56,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,173.979791757993
777,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,176.88,1,4.56,-10.16,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,178.539791757993
778,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,187.04,1,10.16,-7.20000000000002,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,188.699791757993
779,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,194.24,1,7.20000000000002,-5.67999999999998,22,2,6,2, , , , , , , , , , , , , , , , ,varjo,True,195.899791757993
780,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,199.92,1,5.67999999999998,-22.12,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,201.579791757993
781,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,222.04,2,22.12,-6.68000000000001,1,1,1,2,27,2,8,2, , , , , , , , , , , , ,varjo,True,223.699791757993
782,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,228.72,1,6.68000000000001,-6.47999999999999,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,230.379791757993
783,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,235.2,1,6.47999999999999,-4.84,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,236.859791757993
784,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,240.04,1,4.84,-7.36000000000001,16,1,5,2, , , , , , , , , , , , , , , , ,varjo,True,241.699791757993
785,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,247.4,1,7.36000000000001,-7.51999999999998,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,249.059791757993
786,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,254.92,2,7.51999999999998,-10.96,7,1,2,2,31,2,8,2, , , , , , , , , , , , ,varjo,True,256.579791757993
787,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,265.88,2,10.96,-4.80000000000001,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,267.539791757993
788,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,270.68,1,4.80000000000001,-2.04000000000002,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,272.339791757993
789,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,272.72,1,2.04000000000002,-8.95999999999998,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,274.379791757993
790,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,281.68,1,8.95999999999998,-9.36000000000001,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,283.339791757993
791,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,291.04,1,9.36000000000001,-37.96,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,292.699791757993
792,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,329,1,37.96,-2.51999999999998,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,330.659791757993
793,P23,sandwich,P23_sandwich_2_merged.mp4,error frame,331.52,1,2.51999999999998,-4.12,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,333.179791757993
